title,company_name,exp_years,location,city,level,time,category,year
Payroll Personnel Specialist,Novative,5,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Partnerships Executive,WUZZUF,3,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Sales Account Manager - Monofia,Lafarge,0,"Monufya, Egypt",Monufya,Entry Level,Full Time,Software Engneering,2020
Sr.Purchasing Specialist,Probuilders,3,"Agouza, Giza",Agouza,Experienced,Full Time,Software Engneering,2020
Junior Payroll & OD Specialist - Cairo,Unknown,1,"Nasr City, Cairo",Nasr City,Entry Level,Full Time,Software Engneering,2020
Digital Strategist Specialist,dkt Egypt,2,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Marketing Associate,IFT Corporation,4,"Mokattam, Cairo",Mokattam,Experienced,Full Time,Software Engneering,2020
Freelance BTL Sales Account Manager,Think Agency,3,"Nasr City, Cairo",Nasr City,Experienced,Full Time And Part Time,Software Engneering,2020
CCNA Instructor,American Academy,2,"6th Of October, Giza",6th Of October,Experienced,Full Time And Part Time,Software Engneering,2020
Talent Acquisition Specialist,QuadraTech for Information Technology,3,"Katameya, Cairo",Katameya,Experienced,Full Time,Software Engneering,2020
Control Engineer,CUBII,3,"Mansoura, Dakahlia",Mansoura,Experienced,Full Time,Software Engneering,2020
Quality Assurance Associate (Fluent French...,Expleo,1,"Maadi, Cairo",Maadi,Entry Level,Full Time,Software Engneering,2020
Treasury Manager,El Mansour Development,5,"Mokattam, Cairo",Mokattam,Manager,Full Time,Software Engneering,2020
Oracle Financial Consultant,Ghassan Ahmed Alsulaiman for Electronic Services,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Architectural Engineer,Meeza,5,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Happiness Manager,Smart GYM,2,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
